rank,keyword,intel_share_pct,sponsored_intel_share_pct,top_ranked_sku,top2_audit_score
1,intel evo laptop,100.0,100.0,HP Spectre x360 14 (Intel Core Ultra 7),100.0
2,intel vpro business laptop,100.0,100.0,Dell Latitude 5440 (Intel vPro Essentials),71.4
3,intel core i9 gaming desktop,95.8,100.0,Alienware Aurora R16 (Intel Core i9-14900KF),85.7
4,intel core ultra laptop,91.7,100.0,Dell XPS 14 (Intel Core Ultra 7 155H),100.0
5,intel core i7 notebook,87.5,100.0,Dell Inspiron 16 Intel Core i7,71.4
6,ultrabook intel core,83.3,100.0,Dell XPS 14 / HP Spectre x360,100.0
7,business desktop pc,79.2,85.7,Dell OptiPlex / HP Envy Desktop (14th Gen),42.9
8,oled laptop intel,75.0,80.0,Acer Swift Go 14 OLED (Intel Core Ultra 7),100.0
9,ai pc laptop,66.7,75.0,"Lenovo Slim 7i 14"" Intel Evo Edition",85.7
10,gaming laptop,62.5,80.0,ASUS ROG Zephyrus G16 (Intel Core Ultra 9),85.7
