sku_id,site_id,retailer,site_type,oem,model_series,product_id,product_description,processor_series,processor_model,processor_gen,processor_brand,is_intel_cpu,graphics_card,original_price,current_price,discount_amount,discount_pct,currency,price_usd,form_factor,screen_size,screen_type,ram_size,ram_type,storage_size,storage_type,operating_system,segment,is_gaming,is_evo,is_vpro,is_premium,compliance_score,product_url
bb_dell_xps14_u7,bestbuy-us,Best Buy,1P_RETAILER,Dell,XPS 14 (9440),6571082,"Dell XPS 14 14.5"" 3.2K OLED Touch Laptop - Intel Core Ultra 7 155H - 32GB Memory - NVIDIA GeForce RTX 4050 - 1TB SSD - Platinum",Intel Core Ultra,Intel Core Ultra 7 155H,Series 1 (Meteor Lake),Intel,True,NVIDIA GeForce RTX 4050 (6GB GDDR6),2399.99,2099.99,300.0,12.5,USD,2099.99,Laptop,"14.5""",3.2K OLED Touch (120Hz),32GB,LPDDR5X 7467MHz,1TB,PCIe 4.0 NVMe SSD,Windows 11 Home,AI PC,False,True,False,True,85.7,https://www.bestbuy.com/site/dell-xps-14-14-5-3-2k-oled-touch-laptop-intel-core-ultra-7-155h-32gb-memory-nvidia-geforce-rtx-4050-1tb-ssd-platinum/6571082.p
bb_asus_g16_u9,bestbuy-us,Best Buy,1P_RETAILER,ASUS,ROG Zephyrus G16 (2024),6570222,"ASUS ROG Zephyrus G16 16"" OLED 240Hz Gaming Laptop - Intel Core Ultra 9 185H - 32GB LPDDR5X - NVIDIA GeForce RTX 4080 - 1TB SSD",Intel Core Ultra,Intel Core Ultra 9 185H,Series 1 (Meteor Lake),Intel,True,NVIDIA GeForce RTX 4080 (12GB GDDR6),2899.99,2699.99,200.0,6.9,USD,2699.99,Laptop,"16.0""",2.5K OLED 240Hz 0.2ms,32GB,LPDDR5X 7467MHz,1TB,PCIe 4.0 NVMe SSD,Windows 11 Home,Gaming,True,False,False,True,85.7,https://www.bestbuy.com/site/asus-rog-zephyrus-g16-16-oled-240hz-gaming-laptop-intel-core-ultra-9-185h-32gb-lpddr5x-nvidia-geforce-rtx-4080-1tb-ssd-eclipse-gray/6570222.p
bb_hp_envy_desk_i7,bestbuy-us,Best Buy,1P_RETAILER,HP,HP Envy Desktop TE02,6568241,HP Envy Desktop - Intel Core i7-14700 (14th Gen) - 16GB DDR5 RAM - 1TB SSD - Intel UHD Graphics 770 - Windows 11 Home,Intel Core i7,Intel Core i7-14700,14th Gen (Raptor Lake Refresh),Intel,True,Intel UHD Graphics 770,1099.99,949.99,150.0,13.6,USD,949.99,Desktop,N/A,N/A (Desktop Tower),16GB,DDR5 5600MHz,1TB,NVMe M.2 SSD,Windows 11 Home,Mainstream,False,False,False,False,85.7,https://www.bestbuy.com/site/hp-envy-desktop-intel-core-i7-14700-16gb-ddr5-memory-1tb-ssd-natural-silver/6568241.p
bb_lenovo_slim3_r5,bestbuy-us,Best Buy,1P_RETAILER,Lenovo,"IdeaPad Slim 3 15""",6548740,"Lenovo IdeaPad Slim 3 15.6"" FHD Touchscreen Laptop - AMD Ryzen 5 7530U - 8GB Memory - 512GB SSD - Arctic Grey",AMD Ryzen 5,AMD Ryzen 5 7530U,7000 Series (Barcelo-R),AMD,False,AMD Radeon Graphics,599.99,449.99,150.0,25.0,USD,449.99,Laptop,"15.6""",FHD IPS Touch (1920x1080),8GB,DDR4 3200MHz,512GB,NVMe SSD,Windows 11 Home,Entry,False,False,False,False,42.9,https://www.bestbuy.com/site/lenovo-ideapad-slim-3-15-6-fhd-touchscreen-laptop-amd-ryzen-5-7530u-8gb-memory-512gb-ssd-arctic-grey/6548740.p
wm_hp_pavilion_i5,walmart-us,Walmart,1P_RETAILER,HP,Pavilion 15-eg3053cl,512398412,"HP Pavilion 15.6"" FHD IPS Laptop, Intel Core i5-1335U, 16GB RAM, 512GB SSD, Natural Silver, Windows 11",Intel Core i5,Intel Core i5-1335U,13th Gen (Raptor Lake),Intel,True,Intel Iris Xe Graphics,799.0,599.0,200.0,25.0,USD,599.0,Laptop,"15.6""",FHD IPS Micro-edge (1920x1080),16GB,DDR4 3200MHz,512GB,PCIe NVMe M.2 SSD,Windows 11 Home,Mainstream,False,False,False,False,85.7,https://www.walmart.com/ip/HP-Pavilion-15-6-FHD-Laptop-Intel-Core-i5-1335U-16GB-RAM-512GB-SSD-Silver/512398412
wm_lenovo_loq_i5,walmart-us,Walmart,1P_RETAILER,Lenovo,LOQ 15IRH8,291837461,"Lenovo LOQ 15.6"" 144Hz Gaming Laptop, Intel Core i5-13450HX, 16GB DDR5, 512GB SSD, NVIDIA GeForce RTX 3050 6GB",Intel Core i5,Intel Core i5-13450HX,13th Gen HX Series,Intel,True,NVIDIA GeForce RTX 3050 (6GB GDDR6),899.99,749.0,150.99,16.8,USD,749.0,Laptop,"15.6""",FHD 144Hz G-SYNC IPS,16GB,DDR5 4800MHz,512GB,NVMe SSD,Windows 11 Home,Gaming,True,False,False,False,85.7,https://www.walmart.com/ip/Lenovo-LOQ-15-6-FHD-144Hz-Gaming-Laptop-Intel-Core-i5-13450HX-16GB-RAM-512GB-SSD-RTX-3050/291837461
wm_asus_vivo_r7,walmart-us,Walmart,1P_RETAILER,ASUS,Vivobook 16 M1605,847291039,"ASUS Vivobook 16"" WUXGA Laptop, AMD Ryzen 7 7730U, 16GB RAM, 512GB SSD, Indie Black, Windows 11",AMD Ryzen 7,AMD Ryzen 7 7730U,7000 Series,AMD,False,AMD Radeon Graphics,749.0,549.0,200.0,26.7,USD,549.0,Laptop,"16.0""",WUXGA 16:10 IPS (1920x1200),16GB,DDR4 3200MHz,512GB,NVMe SSD,Windows 11 Home,Mainstream,False,False,False,False,42.9,https://www.walmart.com/ip/ASUS-Vivobook-16-WUXGA-Laptop-AMD-Ryzen-7-7730U-16GB-512GB-SSD-Black/847291039
co_lenovo_slim7i_u7,costco-us,Costco,1P_RETAILER,Lenovo,"Slim 7i 14"" Intel EVO",1802934,"Lenovo Slim 7i 14"" OLED Touchscreen Laptop - Intel Core Ultra 7 155H - Intel Evo Edition - 32GB Memory - 1TB SSD - Windows 11",Intel Core Ultra,Intel Core Ultra 7 155H,Series 1 (Meteor Lake),Intel,True,Intel Arc Graphics (8 Xe-cores),1499.99,1199.99,300.0,20.0,USD,1199.99,Laptop,"14.0""",2.8K OLED Touch (120Hz),32GB,LPDDR5X 7467MHz,1TB,PCIe Gen4 NVMe SSD,Windows 11 Home,AI PC,False,True,False,True,85.7,https://www.costco.com/lenovo-slim-7i-14-oled-touchscreen-laptop-intel-core-ultra-7-155h-32gb-1tb-ssd.product.1802934.html
co_dell_insp_desk_i5,costco-us,Costco,1P_RETAILER,Dell,Inspiron 3030 Desktop,1782390,Dell Inspiron Desktop Tower - 14th Gen Intel Core i5-14400 - 16GB DDR5 RAM - 1TB SSD - Intel UHD 730 - Windows 11 Home,Intel Core i5,Intel Core i5-14400,14th Gen (Raptor Lake Refresh),Intel,True,Intel UHD Graphics 730,799.99,649.99,150.0,18.8,USD,649.99,Desktop,N/A,N/A (Desktop Tower),16GB,DDR5 5600MHz,1TB,NVMe M.2 SSD,Windows 11 Home,Mainstream,False,False,False,False,85.7,https://www.costco.com/dell-inspiron-desktop-14th-gen-intel-core-i5-14400-16gb-ram-1tb-ssd.product.1782390.html
co_hp_envy_r7_ai,costco-us,Costco,1P_RETAILER,HP,"Envy x360 16""",1829012,"HP Envy x360 16"" 2-in-1 Touchscreen Laptop - AMD Ryzen 7 8840HS (AMD Ryzen AI) - 16GB RAM - 1TB SSD - Windows 11",AMD Ryzen 7,AMD Ryzen 7 8840HS,8000 Series (Hawk Point),AMD,False,AMD Radeon 780M Graphics,1099.99,849.99,250.0,22.7,USD,849.99,Laptop,"16.0""",WUXGA IPS Touchscreen (1920x1200),16GB,LPDDR5 6400MHz,1TB,PCIe NVMe SSD,Windows 11 Home,AI PC,False,False,False,True,42.9,https://www.costco.com/hp-envy-x360-16-2-in-1-touchscreen-laptop-amd-ryzen-7-8840hs-16gb-1tb-ssd.product.1829012.html
