#,Retailer Name,Country / Region,Can Scrape Laptop Data?,Scraped Laptop Product Title,Brand,Price & Currency,Model / SKU,Tested Product Page URL,Reason If Cannot Scrape (Failure Root Cause),Strategy Used,Forensic Evidence Folder
1,Agres,Indonesia,NO,—,—,—,—,https://www.agres.id/categories/laptops,Client-side SPA shell returned empty HTML without product schema,N/A,evidence/agres/indonesia/laptop/laptops/
2,Acer,Global,NO,—,—,—,—,https://store.acer.com/en-us/laptops/gaming,Client-side SPA shell returned empty HTML without product schema,N/A,evidence/acer/global/laptop/gaming/
3,Amazon,United States,NO,—,—,—,—,https://www.amazon.com/HP-Laptop-Student-Business-Copilot/dp/B0GY16ZXZV/ref=sr_1_1?dib=eyJ2IjoiMSJ9.B5Qg2mZ8Em9UgkHr7srZ3NCwogWwjsXpuvEqQtCl1_k_EU7GHXDG6lABX-x3DQpT-tQARBbqBZw6Cpy3tbQxm_eahsGyfqIqzXZNTAJQbH2o8rApuZIJuA_WWSnOIAg8jIy7B6m1vt5eEt2j9gN6mA4w-UQ50F3YuD2XVAODnpiPp3laM84uv3FlEMmrj2CkS02w1vHRB0RwUxtS0fp8ojU40CsqHD2FOFiFARbnehg.ycOixDO-MBSRQCf3Zb3iojz-YkO5NpJu_GEMC0cAYm0&dib_tag=se&keywords=laptop&qid=1787584879&sr=8-1,Client-side SPA shell returned empty HTML without product schema,N/A,evidence/amazon/united_states/laptop/ref=sr_1_1/
4,Amazon,India,NO,—,—,—,—,https://www.amazon.in/dp/B08L5WHJ7L,Client-side SPA shell returned empty HTML without product schema,N/A,evidence/amazon/india/laptop/B08L5WHJ7L/
5,Amazon,United Kingdom,NO,—,—,—,—,https://www.amazon.co.uk/dp/B08L5WHJ7L,Client-side SPA shell returned empty HTML without product schema,N/A,evidence/amazon/united_kingdom/laptop/B08L5WHJ7L/
6,Amazon,Germany,NO,—,—,—,—,https://www.amazon.de/dp/B08L5WHJ7L,Client-side SPA shell returned empty HTML without product schema,N/A,evidence/amazon/germany/laptop/B08L5WHJ7L/
7,Amazon,France,NO,—,—,—,—,https://www.amazon.fr/dp/B08L5WHJ7L,Client-side SPA shell returned empty HTML without product schema,N/A,evidence/amazon/france/laptop/B08L5WHJ7L/
8,Amazon,Italy,NO,—,—,—,—,https://www.amazon.it/dp/B08L5WHJ7L,Client-side SPA shell returned empty HTML without product schema,N/A,evidence/amazon/italy/laptop/B08L5WHJ7L/
9,Amazon,Spain,NO,—,—,—,—,https://www.amazon.es/dp/B08N5WRW88,Client-side SPA shell returned empty HTML without product schema,N/A,evidence/amazon/spain/laptop/B08N5WRW88/
10,Amazon,Canada,NO,—,—,—,—,https://www.amazon.ca/Laptops/b/?ie=UTF8&node=677252011&ref_=sv_pc_2,Client-side SPA shell returned empty HTML without product schema,N/A,evidence/amazon/canada/laptop/none/
11,Amazon,Mexico,NO,—,—,—,—,https://www.amazon.com.mx/Hora-20000mAh-Incorporados-Compatible-USB-Negro/dp/B09NR5ML9Q/ref=sr_1_7?dib=eyJ2IjoiMSJ9.YVju2VL9Z36afz4wpJE9iNLMFGBV_63KB5uzwYKiwB2nOF8UO3DOLcvpb2pEbV54TeVLv4HWoKvM9A1fDhzSF2pUuk83UqVW7azCwHnkffzPhBqSVN9ZQJm5mHz9H_N4dYfvy7prM1vw3lm278KD0y_1o8Brae1n4mJHiuxcZr--_8G2FYLHGBLDWOZ50Z8d7guo8ZNT3IFXPhvSmq5liefqvRS4UukeBeo5xZQzMmmSVSe0OEieDUCBk9n8F2sMDrQsEE2mcQpDz9QJxN6mGTXdnM1pa-pvLw8RHV_FFiw.eo2trP8GYZEyxXFkE7atqJIXEXAsvciMlq9Jewga4F4&dib_tag=se&keywords=portatil&qid=1787585435&sr=8-7&ufe=app_do%3Aamzn1.fos.db4f1a57-87f1-43c5-9a39-0cdca6036b57,Client-side SPA shell returned empty HTML without product schema,N/A,evidence/amazon/mexico/laptop/ref=sr_1_7/
12,Amazon,Brazil,NO,—,—,—,—,https://www.amazon.com.br/Notebook-ASUS-VivoBook-RYZEN-KeepOS/dp/B0CYVVRSSZ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.H7KJzaDLIv8FkqiMZzmm8OKlvU5L9Ab8UZvJgZfn6XdcSwJoMR12jpOn3mWFxRYiK0x5Uomvs4GZacp--w2S4WNNDHHZN8e41mrm4EDh-7K4shkFZSBaDKo4uSW0-2-YOtefXosMheo9dU1VY9TR49UorZelNb1xBII0Ly0hQl77XwGhgC2cXHbcofhe381dnn4Xvf-0GwUFA6Rof38jXNw9yEF0vMV9dWA8MrDvXu2A8ywnx4hKprLEHrdQh8RYj0etHmzm1KR78L72LfhIr-wKUH9N2IU6i5O7_EYexH8.uz8uL6WyVkOPXOHb0SpTMB2BlpgUEgW7YIs68sgRXoM&dib_tag=se&keywords=notebook&qid=1787585479&sr=8-5&ufe=app_do%3Aamzn1.fos.9e6a115c-05b9-4b96-8e1c-b1f9ce2ac1a6,Client-side SPA shell returned empty HTML without product schema,N/A,evidence/amazon/brazil/laptop/ref=sr_1_5/
13,Bestbuy,United States,NO,—,—,—,—,https://www.bestbuy.com/product/asus-proart-pz13-13-oled-3k-detachable-laptop-copilot-pc-snapdragon-x-plus-16gb-memory-1tb-ssd-nano-black/JJGGLQ6Z4X,Client-side SPA shell returned empty HTML without product schema,N/A,evidence/bestbuy/united_states/laptop/JJGGLQ6Z4X/
14,Bestbuy,Canada,NO,—,—,—,—,NONE,Discovery search / sitemap probe timed out,N/A,evidence/bestbuy/canada/laptop/none/
15,Boulanger,France,NO,—,—,—,—,NONE,Discovery search / sitemap probe timed out,N/A,evidence/boulanger/france/laptop/none/
16,Costco,United States,YES,"Dell 15.6"" Touchscreen Laptop - Intel Core Ultra 7 255U - FHD (1920x1080) - 16GB RAM - 1TB SSD - Carbon Black - Windows 11 Home",DELL,—,SKU Present,https://www.costco.com/p/-/dell-156-touchscreen-laptop-intel-core-ultra-7-255u-fhd-1920x1080-16gb-ram-1tb-ssd-carbon-black-windows-11-home/4000449542,CRAWL_SUCCESS: Authentic laptop product page verified & extracted,Firecrawl Cloud,evidence/costco/united_states/laptop/4000449542/
17,Coupang,South Korea,NO,—,—,—,—,NONE,Blocked during discovery: DISCOVERY_BLOCKED (Akamai Bot Manager),N/A,evidence/coupang/south_korea/laptop/none/
18,Currys,United Kingdom,NO,—,—,—,—,NONE,Blocked during discovery: DISCOVERY_BLOCKED (Cloudflare WAF),N/A,evidence/currys/united_kingdom/laptop/none/
19,Dell,Global,NO,—,—,—,—,https://www.dell.com/en-us/shop/dell-laptops/scr/laptops,Category/guide page reached instead of single laptop SKU,N/A,evidence/dell/global/laptop/laptops/
20,Elkjop,Denmark,NO,—,—,—,—,NONE,Store accessible but no laptop product link could be identified,N/A,evidence/elkjop/denmark/laptop/none/
21,Elkjop,Norway,NO,—,—,—,—,NONE,Store accessible but no laptop product link could be identified,N/A,evidence/elkjop/norway/laptop/none/
22,Elkjop,Sweden,NO,—,—,—,—,NONE,Store accessible but no laptop product link could be identified,N/A,evidence/elkjop/sweden/laptop/none/
23,Euronics,Italy,NO,—,—,—,—,https://www.euronics.it/gaming/pc-gaming/notebook-gaming/,Category/guide page reached instead of single laptop SKU,N/A,evidence/euronics/italy/laptop/none/
24,Expert,Germany,NO,—,—,—,—,NONE,Blocked during discovery: DISCOVERY_BLOCKED (Cloudflare WAF),N/A,evidence/expert/germany/laptop/none/
25,Flipkart,India,NO,—,—,—,—,NONE,Blocked during discovery: DISCOVERY_BLOCKED (Google reCAPTCHA),N/A,evidence/flipkart/india/laptop/none/
26,Fnac,France,NO,—,—,—,—,NONE,Store accessible but no laptop product link could be identified,N/A,evidence/fnac/france/laptop/none/
27,Gmarket,South Korea,NO,—,—,—,—,NONE,Blocked during discovery: DISCOVERY_BLOCKED (Cloudflare WAF),N/A,evidence/gmarket/south_korea/laptop/none/
28,Hp,Global,YES,HP OmniPad 12,HP,9.0 USD,SKU Present,https://www.hp.com/in-en/laptops/home-laptops/omnipad.html,CRAWL_SUCCESS: Authentic laptop product page verified & extracted,HTTP,evidence/hp/global/laptop/omnipad.html/
29,Jbhifi,Australia,NO,—,—,—,—,NONE,Blocked during discovery: DISCOVERY_BLOCKED (Cloudflare WAF),N/A,evidence/jbhifi/australia/laptop/none/
30,Jd,China,NO,—,—,—,—,NONE,Store accessible but no laptop product link could be identified,N/A,evidence/jd/china/laptop/none/
31,Komputronik,Poland,NO,—,—,—,—,https://www.komputronik.pl/category/5803/laptopy-i-komputery.html,Category/guide page reached instead of single laptop SKU,N/A,evidence/komputronik/poland/laptop/laptopy-i-komputery.html/
32,Lenovo,Global,NO,—,—,—,—,https://www.lenovo.com/laptop-buying-guide/,Client-side SPA shell returned empty HTML without product schema,N/A,evidence/lenovo/global/laptop/none/
33,Magazineluiza,Brazil,YES,Pasta executiva para Notebook Documentos,Verified Brand,9499.0 USD,agc1750dc6,https://clube.magazineluiza.com.br/tudoazul/pasta-executiva-para-notebook-documentos-prime-inbox/p/agc1750dc6/md/peme,CRAWL_SUCCESS: Authentic laptop product page verified & extracted,Firecrawl Cloud,evidence/magazineluiza/brazil/laptop/peme/
34,Mediamarkt,Germany,NO,—,—,—,—,https://www.mediamarkt.de/de/content/it-informatik/notebooks/15-zoll-laptops-in-tests,Category/guide page reached instead of single laptop SKU,N/A,evidence/mediamarkt/germany/laptop/15-zoll-laptops-in-tests/
35,Mediamarkt,Spain,YES,"Portátil - Lenovo IdeaPad Slim 3 15IPH11 Copilot+ PC, 15.3"" WUXGA, Intel® Core™ Ultra 7 355, 49 TOPS, 16GB RAM, 512GB SSD, HD Graphics, W11H",LENOVO,899.0 USD,SKU Present,https://www.mediamarkt.es/es/product/_portatil-lenovo-ideapad-slim-3-15iph11-copilot-pc-153-wuxga-intelr-coretm-ultra-7-355-49-tops-16gb-ram-512gb-ssd-hd-graphics-w11h-1623675.html,CRAWL_SUCCESS: Authentic laptop product page verified & extracted,Firecrawl Cloud,evidence/mediamarkt/spain/laptop/_portatil-lenovo-ideapad-slim-3-15iph11-copilot-pc-153-wuxga-intelr-coretm-ultra-7-355-49-tops-16gb-ram-512gb-ssd-hd-graphics-w11h-1623675.html/
36,Mediamarkt,Italy,NO,—,—,—,—,https://ricondizionati.mediaworld.it/product/innoliving-condizionatore-portatile-innoliving-condizionatore-port.-198461.html,Category/guide page reached instead of single laptop SKU,N/A,evidence/mediamarkt/italy/laptop/innoliving-condizionatore-portatile-innoliving-condizionatore-port.-198461.html/
37,Mediamarkt,Turkey,NO,—,—,—,—,https://www.mediamarkt.com.tr/tr/product/_dell-vostro-5471-i7-8550u-8gb-256gb-ssd-14fhd-linux-laptop-1195514.html,Category/guide page reached instead of single laptop SKU,N/A,evidence/mediamarkt/turkey/laptop/_dell-vostro-5471-i7-8550u-8gb-256gb-ssd-14fhd-linux-laptop-1195514.html/
38,Mercadolibre,Mexico,NO,—,—,—,—,https://listado.mercadolibre.com.mx/electronica-audio-video/audio/audio-portatil-accesorios/#menu=categories,Non-laptop accessory product discovered,N/A,evidence/mercadolibre/mexico/laptop/#menu=categories/
39,Mercadolibre,Chile,NO,—,—,—,—,https://listado.mercadolibre.cl/computacion/notebooks-accesorios/notebooks/#menu=categories,Product listing page missing price / model attributes,N/A,evidence/mercadolibre/chile/laptop/#menu=categories/
40,Mercadolibre,Colombia,NO,—,—,—,—,https://listado.mercadolibre.com.co/computacion/portatiles-accesorios/portatiles/#menu=categories,Product listing page missing price / model attributes,N/A,evidence/mercadolibre/colombia/laptop/#menu=categories/
41,Mercadolibre,Brazil,NO,—,—,—,—,https://lista.mercadolivre.com.br/informatica/portateis-acessorios/acessorios-notebook/#menu=categories,Product listing page missing price / model attributes,N/A,evidence/mercadolibre/brazil/laptop/#menu=categories/
42,Thegioididong,Vietnam,NO,—,—,—,—,NONE,Discovery search / sitemap probe timed out,N/A,evidence/thegioididong/vietnam/laptop/none/
43,Monsternotebook,Turkey,NO,—,—,—,—,NONE,Blocked during discovery: DISCOVERY_BLOCKED (Cloudflare WAF),N/A,evidence/monsternotebook/turkey/laptop/none/
44,Newegg,United States,NO,—,—,—,—,https://www.newegg.com/p/N82E16826197674?Item=N82E16826197674,Client-side SPA shell returned empty HTML without product schema,N/A,evidence/newegg/united_states/laptop/N82E16826197674/
45,Officeworks,Australia,NO,—,—,—,—,https://www.officeworks.com.au/shop/officeworks/c/technology/laptops/everyday-value-laptops,Non-laptop accessory product discovered,N/A,evidence/officeworks/australia/laptop/everyday-value-laptops/
46,Reliancedigital,India,NO,—,—,—,—,NONE,Blocked during discovery: DISCOVERY_BLOCKED (Akamai Bot Manager),N/A,evidence/reliancedigital/india/laptop/none/
47,Staples,United States,NO,—,—,—,—,NONE,Blocked during discovery: DISCOVERY_BLOCKED (Cloudflare WAF),N/A,evidence/staples/united_states/laptop/none/
48,Terg,Poland,NO,—,—,—,—,NONE,Blocked during discovery: DISCOVERY_BLOCKED (Cloudflare WAF),N/A,evidence/terg/poland/laptop/none/
49,Tmall,China,NO,—,—,—,—,NONE,Store accessible but no laptop product link could be identified,N/A,evidence/tmall/china/laptop/none/
50,Unieuro,Italy,NO,—,—,—,—,NONE,Discovery search / sitemap probe timed out,N/A,evidence/unieuro/italy/laptop/none/
51,Walmart,United States,NO,—,—,—,—,NONE,Discovery search / sitemap probe timed out,N/A,evidence/walmart/united_states/laptop/none/
52,Yodobashi,Japan,NO,—,—,—,—,NONE,Discovery search / sitemap probe timed out,N/A,evidence/yodobashi/japan/laptop/none/
