retailer,country,country_iso,account,site_type,product_id,product_title,product_description,oem,model_and_series,processor_brand,processor_series,processor_model,processor_number,processor_generation,graphics_card,form_factor,screen_size,screen_type,ram_gb,storage_gb,storage_type,operating_system,original_price_local,selling_price_local,usd_original_price,usd_selling_price,discount_amount_local,discount_pct,currency,price_history,availability,product_url,feed_timestamp,feed_date
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0001,HP Spectre x360 16 - Intel Core i7 13700H (Laptop),,HP,Spectre x360 16,Intel,Intel Core i7,Intel Core i7,13700H,13th Gen / Raptor Lake,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,646,646,646,646,0,0,USD,,InStock,https://www.bestbuy.com/products/hp-spectre-x360-16-intel-core-i7,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0002,Lenovo Yoga 7i 2-in-1 - Intel Core 7 150U (Laptop),,Lenovo,Yoga 7i 2-in-1,Intel,Intel Core 7,Intel Core 7,150U,14th Gen / Series 1,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,693,693,693,693,0,0,USD,,InStock,https://www.bestbuy.com/products/lenovo-yoga-7i-2-in-1-intel-core-7,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0003,ASUS ROG Zephyrus G16 - AMD Ryzen 9 7945HX (Laptop),,ASUS,ROG Zephyrus G16,AMD,AMD Ryzen 9,AMD Ryzen 9,7945HX,Zen 4 / Dragon Range,NVIDIA GeForce RTX 4060,Laptop,"16.0""",,32GB LPDDR5X,1TB NVMe SSD,SSD,Windows 11 Home,740,651,740,651,89,12,USD,,InStock,https://www.bestbuy.com/products/asus-rog-zephyrus-g16-amd-ryzen-9,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0004,Acer Nitro 16 - Snapdragon X Elite X1E-80-100 (Laptop),,Acer,Nitro 16,Qualcomm,Snapdragon X Elite,Snapdragon X Elite,X1E-80-100,Oryon ARM,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,787,787,787,787,0,0,USD,,InStock,https://www.bestbuy.com/products/acer-nitro-16-snapdragon-x-elite,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0005,Samsung Galaxy Book4 360 - Intel Core Ultra 9 185H (Laptop),,Samsung,Galaxy Book4 360,Intel,Intel Core Ultra 9,Intel Core Ultra 9,185H,14th Gen / Meteor Lake,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,834,684,834,684,150,18,USD,,InStock,https://www.bestbuy.com/products/samsung-galaxy-book4-360-intel-core-ultra-9,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0006,MSI Stealth 16 AI Studio - Intel Core i9 14900HX (Desktop PC),,MSI,Stealth 16 AI Studio,Intel,Intel Core i9,Intel Core i9,14900HX,14th Gen / Raptor Lake-HX,NVIDIA GeForce RTX 4060,Desktop,"27""",,16GB DDR5,1TB NVMe SSD,SSD,Windows 11 Home,881,775,881,775,106,12,USD,,InStock,https://www.bestbuy.com/products/msi-stealth-16-ai-studio-intel-core-i9,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0007,"Apple MacBook Air 15"" M3 - AMD Ryzen 5 7520U (Laptop)",,Apple,"MacBook Air 15"" M3",AMD,AMD Ryzen 5,AMD Ryzen 5,7520U,Zen 2 / Mendocino,Integrated Intel Arc Graphics,Laptop,"16.0""",,32GB LPDDR5X,512GB NVMe SSD,SSD,Windows 11 Home,928,928,928,928,0,0,USD,,InStock,https://www.bestbuy.com/products/apple-macbook-air-15-m3-amd-ryzen-5,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0008,Dell XPS 16 (9640) - Apple M3 M3 (Laptop),,Dell,XPS 16 (9640),Apple,Apple M3,Apple M3,M3,3nm Apple Silicon,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,975,975,975,975,0,0,USD,,InStock,https://www.bestbuy.com/products/dell-xps-16-9640--apple-m3,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0009,HP Envy x360 15 - Intel Core Ultra 5 125H (Laptop),,HP,Envy x360 15,Intel,Intel Core Ultra 5,Intel Core Ultra 5,125H,14th Gen / Meteor Lake,NVIDIA GeForce RTX 4060,Laptop,"16.0""",,32GB LPDDR5X,1TB NVMe SSD,SSD,Windows 11 Home,1022,899,1022,899,123,12,USD,,InStock,https://www.bestbuy.com/products/hp-envy-x360-15-intel-core-ultra-5,2026-08-28T08:15:27.551208+00:00,2026-08-28
Best Buy - US,United States,US,Best Buy - US,1P Retailer,SKU-US-0010,Lenovo IdeaPad Slim 5 - Intel Core i5 1335U (Laptop),,Lenovo,IdeaPad Slim 5,Intel,Intel Core i5,Intel Core i5,1335U,13th Gen / Raptor Lake,Integrated Intel Arc Graphics,Laptop,"14.0""",,16GB DDR5,512GB NVMe SSD,SSD,Windows 11 Home,1069,877,1069,877,192,18,USD,,InStock,https://www.bestbuy.com/products/lenovo-ideapad-slim-5-intel-core-i5,2026-08-28T08:15:27.551208+00:00,2026-08-28
