"Index","Target ID","Retailer","Country","Country ISO","Domain","Can Scrape?","Verified Laptop?","Winning Strategy","Winning URL","Product Title","Brand","Model/SKU","Price","Currency","CPU","RAM","Storage","Display","OS","Confidence Score","Anti-Bot Vendor","Failure Stage","Failure Reason","Latency (ms)"
"1","agres-id","Agres","Indonesia","id","agres.id","YES","YES","BRIGHTDATA_WEB_UNLOCKER","https://agres.id/products/asus-rog-strix-g16-g615jhr-i7-14650hx-rtx5050-8gb-16gb-512gb-w11ohsm365b-160-rog-nebula-wqxga-240hz-box-mou-gry--i7n55c6g-hm","ASUS ROG STRIX G16 G615JHR I7 14650HX RTX5050 8GB/ 16GB 512GB W11+OHS+M365B 16.0 ROG NEBULA WQXGA 240HZ (BOX MOU) GRY -I7N55C6G-HM","ASUS","rog-strix","","IDR","","8GB","512GB ","","","0.85","None","NONE","CRAWL_SUCCESS: Verified authentic laptop product (ASUS ROG STRIX G16 G615JHR I7 14650HX RTX5050 8GB/)","15316.01"
"2","acer-global","Acer","Global","us","store.acer.com","YES","YES","BRIGHTDATA_WEB_UNLOCKER","https://store.acer.com/en-us/acer-aspire-16-ai-laptop-a16-11m-x0lw","Acer Aspire 16 AI Laptop - A16-11M-X0LW","Acer","11m-x0lw","","USD","","","","","","0.9","None","NONE","CRAWL_SUCCESS: Verified authentic laptop product (Acer Aspire 16 AI Laptop - A16-11M-X0LW)","269941.43"
"3","amazon-us","Amazon","United States","us","amazon.com","YES","YES","BRIGHTDATA_AMAZON_SCRAPER","https://www.amazon.com/HP-OmniBook-Touchscreen-Windows-16-by0199nr/dp/B0GQB1C381/ref=sr_1_1","HP OmniBook 3 16 inch Laptop PC, 2K Touchscreen, AMD Ryzen 3 30, 8 GB RAM, 256 GB SSD, AMD Radeon 610M GPU, Windows 11 Home, Mica Silver, 16-by0199nr","HP","B0GQB1C381","449.99","USD","Ryzen 3","8GB","256 GB SSD","16'","Windows 11","1.0","None","NONE","CRAWL_SUCCESS: Verified authentic laptop product (HP OmniBook 3 16 inch Laptop PC, 2K Touchscreen, A)","14114.65"
"4","amazon-in","Amazon","India","in","amazon.in","YES","YES","BRIGHTDATA_AMAZON_SCRAPER","https://www.amazon.in/Lenovo-V15-Lifetime-Validity-Warranty/dp/B0CL7CMTXS/ref=sr_1_2","Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6' FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","Lenovo Store","B0CL7CMTXS","45999.0","INR","Athlon Silver","8GB","512 GB SSD","15.6'","Windows 11","1.0","None","NONE","CRAWL_SUCCESS: Verified authentic laptop product (Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB L)","17126.02"
"5","amazon-gb","Amazon","United Kingdom","gb","amazon.co.uk","YES","YES","BRIGHTDATA_AMAZON_SCRAPER","https://www.amazon.co.uk/Lenovo-IdeaPad-Slim-Chromebook-Laptop/dp/B0C9LZFN32/ref=sr_1_2","Lenovo IdeaPad Slim 3 Chromebook | 14 Inch FHD Laptop | MediaTek Kompanio 520 | 4GB RAM | 64GB eMMC | Chrome OS | Abyss Blue","Lenovo","B0C9LZFN32","149.97","GBP","Mediatek Kompanio 520","4GB","64GB EMMC","14'","Chrome Os","1.0","None","NONE","CRAWL_SUCCESS: Verified authentic laptop product (Lenovo IdeaPad Slim 3 Chromebook | 14 Inch FHD Lap)","14572.91"
"6","amazon-de","Amazon","Germany","de","amazon.de","YES","YES","BRIGHTDATA_AMAZON_SCRAPER","https://www.amazon.de/Dell-Latitude-i5-1135G7-Antiviren-Software-General%C3%BCberholt/dp/B0H7JDLNCR/ref=sr_1_6","Dell Latitude 5320 2-in-1 13,3 Zoll Full HD Laptop Intel Core i5-1135G7@ bis zu 4,2 GHz 16 GB 512 GB SSD mit Windows 11 Pro & GRATIS Antiviren-Software inkl. 12 Monate Garantie (Generalüberholt)","Besuche den Amazon Renewed-Store","B0H7JDLNCR","29990.0","EUR","Intel Core I5-1135G7","16GB","512 GB SSD","","Windows 11","1.0","None","NONE","CRAWL_SUCCESS: Verified authentic laptop product (Dell Latitude 5320 2-in-1 13,3 Zoll Full HD Laptop)","17513.76"
"7","amazon-fr","Amazon","France","fr","amazon.fr","YES","YES","BRIGHTDATA_AMAZON_SCRAPER","https://www.amazon.fr/dp/B0GX7M54LC","Energizer EnergyBook 15.6 Pouces FHD PC Portable (Intel P6500Y, RAM 4Go, SSD 128Go, Intel UHD Graphics 615, Win 11 Home) - Clavier AZERTY, Gris","Visiter la boutique Energizer","B0GX7M54LC","44035.0","EUR","","4GB","128GO","15.6'","","1.0","None","NONE","CRAWL_SUCCESS: Verified authentic laptop product (Energizer EnergyBook 15.6 Pouces FHD PC Portable ()","17194.32"
"8","amazon-it","Amazon","Italy","it","amazon.it","YES","YES","BRIGHTDATA_AMAZON_SCRAPER","https://www.amazon.it/HP-255-G8-portatile-DDR4-SDRAM/dp/B08T9V1FG9/ref=sr_1_6","HP 255 G8 Computer Portatile 39,6 cm (15.6') 1366 x 768 Pixel Intel N4500 8Gb DDR4-SDRAM 256Gb SSD Wi-Fi, Win 11 Pro","HP","B08T9V1FG9","32990.0","EUR","","8GB","256GB SSD","15.6'","","1.0","None","NONE","CRAWL_SUCCESS: Verified authentic laptop product (HP 255 G8 Computer Portatile 39,6 cm (15.6') 1366 )","18530.64"
"9","amazon-es","Amazon","Spain","es","amazon.es","YES","YES","BRIGHTDATA_AMAZON_SCRAPER","https://www.amazon.es/HP-Ordenador-port%C3%A1til-Graphics-operativo/dp/B0FCG2VS1T/ref=sr_1_3","HP 15-fc0237ns - Ordenador portátil de 15.6' FHD (AMD Ryzen 5-7520U, 16 GB RAM, 1TB SSD, AMD Radeon Graphics, Sin Sistema operativo) Plata y Azul - Teclado QWERTY Español","HP","B0FCG2VS1T","66989.0","EUR","Ryzen 5","16GB","1TB SSD","15.6'","","1.0","None","NONE","CRAWL_SUCCESS: Verified authentic laptop product (HP 15-fc0237ns - Ordenador portátil de 15.6' FHD ()","15001.41"
"10","amazon-ca","Amazon","Canada","ca","amazon.ca","YES","YES","BRIGHTDATA_AMAZON_SCRAPER","https://www.amazon.ca/Gateway-Acer-Chromebook-1920x1080-CBO314-1H-C3AX/dp/B0CY3H3LP4/ref=sr_1_6","Gateway (by Acer) Chromebook Laptop | 14' FHD 1920x1080 | TN Chromebook | Intel Celeron N4500 | 4GB LPDDR4X RAM | 64GB eMMC | Chrome OS | CBO314-1H-C3AX","Acer Store","B0CY3H3LP4","319.95","CAD","Celeron N4500","4GB","64GB EMMC","14'","Chrome Os","1.0","None","NONE","CRAWL_SUCCESS: Verified authentic laptop product (Gateway (by Acer) Chromebook Laptop | 14' FHD 1920)","15235.96"
