date|month|quarter|year|account|country|oem|model|product_id|product_title|processor|processor_model|number|gen|graphic_card|ram|storage|storage_type|screen_size|form_factor|original_price|selling_price|usd_selling_price|currency|Evo|Gaming|Vpro|Premium|3p_1p|s1|s2|p1|p2|p3|p4|p5|listing_s|details_p|Overall|audit_depth|product_url|concatenate
2026-08-27|August|Q3|2026|Best Buy - US|United States|HP|Spectre x360 16|SKU-US-0001|HP Spectre x360 16 - Intel Core i7 13700H (Laptop)|Intel|Intel Core i7|13700H|13th Gen / Raptor Lake|Integrated Intel Arc Graphics|32GB LPDDR5X|512GB NVMe SSD|SSD|"16.0"""|Laptop|646|646|646|USD|N|N|Y|Y|1P Retailer|100|100|100|100|100|60|70|100|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/hp-spectre-x360-16-intel-core-i7|"Best Buy - US|HP|Spectre x360 16|Intel Core i7|13700H"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Lenovo|Yoga 7i 2-in-1|SKU-US-0002|Lenovo Yoga 7i 2-in-1 - Intel Core 7 150U (Laptop)|Intel|Intel Core 7|150U|14th Gen / Series 1|Integrated Intel Arc Graphics|16GB DDR5|512GB NVMe SSD|SSD|"14.0"""|Laptop|693|693|693|USD|Y|N|N|Y|1P Retailer|100|100|100|100|100|80|70|100|90|94|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/lenovo-yoga-7i-2-in-1-intel-core-7|"Best Buy - US|Lenovo|Yoga 7i 2-in-1|Intel Core 7|150U"
2026-08-27|August|Q3|2026|Best Buy - US|United States|ASUS|ROG Zephyrus G16|SKU-US-0003|ASUS ROG Zephyrus G16 - AMD Ryzen 9 7945HX (Laptop)|AMD|AMD Ryzen 9|7945HX|Zen 4 / Dragon Range|NVIDIA GeForce RTX 4060|32GB LPDDR5X|1TB NVMe SSD|SSD|"16.0"""|Laptop|740|651|651|USD|N|N|N|Y|1P Retailer|0|0|0|0|0|0|0|0|0|0|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/asus-rog-zephyrus-g16-amd-ryzen-9|"Best Buy - US|ASUS|ROG Zephyrus G16|AMD Ryzen 9|7945HX"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Acer|Nitro 16|SKU-US-0004|Acer Nitro 16 - Snapdragon X Elite X1E-80-100 (Laptop)|Qualcomm|Snapdragon X Elite|X1E-80-100|Oryon ARM|Integrated Intel Arc Graphics|16GB DDR5|512GB NVMe SSD|SSD|"14.0"""|Laptop|787|787|787|USD|N|Y|N|Y|1P Retailer|0|0|0|0|0|0|0|0|0|0|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/acer-nitro-16-snapdragon-x-elite|"Best Buy - US|Acer|Nitro 16|Snapdragon X Elite|X1E-80-100"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Samsung|Galaxy Book4 360|SKU-US-0005|Samsung Galaxy Book4 360 - Intel Core Ultra 9 185H (Laptop)|Intel|Intel Core Ultra 9|185H|14th Gen / Meteor Lake|Integrated Intel Arc Graphics|32GB LPDDR5X|512GB NVMe SSD|SSD|"16.0"""|Laptop|834|684|684|USD|Y|N|Y|Y|1P Retailer|100|100|85|100|100|60|70|100|83|90|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/samsung-galaxy-book4-360-intel-core-ultra-9|"Best Buy - US|Samsung|Galaxy Book4 360|Intel Core Ultra 9|185H"
2026-08-27|August|Q3|2026|Best Buy - US|United States|MSI|Stealth 16 AI Studio|SKU-US-0006|MSI Stealth 16 AI Studio - Intel Core i9 14900HX (Desktop PC)|Intel|Intel Core i9|14900HX|14th Gen / Raptor Lake-HX|NVIDIA GeForce RTX 4060|16GB DDR5|1TB NVMe SSD|SSD|"27"""|Desktop|881|775|775|USD|N|N|Y|Y|1P Retailer|100|100|100|80|100|80|90|100|90|94|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/msi-stealth-16-ai-studio-intel-core-i9|"Best Buy - US|MSI|Stealth 16 AI Studio|Intel Core i9|14900HX"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Apple|"MacBook Air 15"" M3"|SKU-US-0007|"Apple MacBook Air 15"" M3 - AMD Ryzen 5 7520U (Laptop)"|AMD|AMD Ryzen 5|7520U|Zen 2 / Mendocino|Integrated Intel Arc Graphics|32GB LPDDR5X|512GB NVMe SSD|SSD|"16.0"""|Laptop|928|928|928|USD|N|N|N|N|1P Retailer|0|0|0|0|0|0|0|0|0|0|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/apple-macbook-air-15-m3-amd-ryzen-5|"Best Buy - US|Apple|MacBook Air 15"" M3|AMD Ryzen 5|7520U"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Dell|XPS 16 (9640)|SKU-US-0008|Dell XPS 16 (9640) - Apple M3 M3 (Laptop)|Apple|Apple M3|M3|3nm Apple Silicon|Integrated Intel Arc Graphics|16GB DDR5|512GB NVMe SSD|SSD|"14.0"""|Laptop|975|975|975|USD|N|Y|N|Y|1P Retailer|0|0|0|0|0|0|0|0|0|0|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/dell-xps-16-9640--apple-m3|"Best Buy - US|Dell|XPS 16 (9640)|Apple M3|M3"
2026-08-27|August|Q3|2026|Best Buy - US|United States|HP|Envy x360 15|SKU-US-0009|HP Envy x360 15 - Intel Core Ultra 5 125H (Laptop)|Intel|Intel Core Ultra 5|125H|14th Gen / Meteor Lake|NVIDIA GeForce RTX 4060|32GB LPDDR5X|1TB NVMe SSD|SSD|"16.0"""|Laptop|1022|899|899|USD|Y|N|N|Y|1P Retailer|100|100|100|80|100|60|90|100|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/hp-envy-x360-15-intel-core-ultra-5|"Best Buy - US|HP|Envy x360 15|Intel Core Ultra 5|125H"
2026-08-27|August|Q3|2026|Best Buy - US|United States|Lenovo|IdeaPad Slim 5|SKU-US-0010|Lenovo IdeaPad Slim 5 - Intel Core i5 1335U (Laptop)|Intel|Intel Core i5|1335U|13th Gen / Raptor Lake|Integrated Intel Arc Graphics|16GB DDR5|512GB NVMe SSD|SSD|"14.0"""|Laptop|1069|877|877|USD|N|N|N|N|1P Retailer|100|100|85|100|100|80|70|100|87|92|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/lenovo-ideapad-slim-5-intel-core-i5|"Best Buy - US|Lenovo|IdeaPad Slim 5|Intel Core i5|1335U"
