retailer|country|total_sample_n|intel_count|intel_sos_pct|amd_count|amd_sos_pct|apple_count|apple_sos_pct|qualcomm_count|qualcomm_sos_pct|laptop_intel_count|laptop_total_n|laptop_intel_sos_pct|desktop_intel_count|desktop_total_n|desktop_intel_sos_pct
Acer|Global|28|14|50.0|7|25.0|4|14.3|3|10.7|12|24|50.0|2|4|50.0
Agres - ID|Indonesia|26|14|53.8|6|23.1|4|15.4|2|7.7|11|22|50.0|3|4|75.0
Amazon - BR|Brazil|32|17|53.1|8|25.0|5|15.6|2|6.2|14|27|51.9|3|5|60.0
Amazon - CA|Canada|32|17|53.1|8|25.0|4|12.5|3|9.4|14|27|51.9|3|5|60.0
Amazon - DE|Germany|31|16|51.6|8|25.8|5|16.1|2|6.5|14|26|53.8|2|5|40.0
Amazon - ES|Spain|31|17|54.8|7|22.6|4|12.9|3|9.7|14|26|53.8|3|5|60.0
Amazon - FR|France|32|17|53.1|7|21.9|5|15.6|3|9.4|14|27|51.9|3|5|60.0
Amazon - IN|India|33|18|54.5|8|24.2|4|12.1|3|9.1|16|28|57.1|2|5|40.0
Amazon - IT|Italy|30|16|53.3|7|23.3|4|13.3|3|10.0|13|25|52.0|3|5|60.0
Amazon - MX|Mexico|30|16|53.3|7|23.3|4|13.3|3|10.0|13|25|52.0|3|5|60.0
Amazon - UK|United Kingdom|33|18|54.5|7|21.2|6|18.2|2|6.1|15|28|53.6|3|5|60.0
Amazon - US|United States|34|18|52.9|8|23.5|6|17.6|2|5.9|16|29|55.2|2|5|40.0
Best Buy - CA|Canada|30|16|53.3|7|23.3|5|16.7|2|6.7|13|25|52.0|3|5|60.0
Best Buy - US|United States|32|18|56.2|7|21.9|4|12.5|3|9.4|16|27|59.3|2|5|40.0
Boulanger - FR|France|28|14|50.0|7|25.0|5|17.9|2|7.1|12|24|50.0|2|4|50.0
Costco - US|United States|28|16|57.1|6|21.4|4|14.3|2|7.1|14|24|58.3|2|4|50.0
Coupang - KR|South Korea|30|16|53.3|7|23.3|4|13.3|3|10.0|14|25|56.0|2|5|40.0
Currys - UK|United Kingdom|30|16|53.3|7|23.3|4|13.3|3|10.0|14|25|56.0|2|5|40.0
Dell|United States|30|16|53.3|7|23.3|5|16.7|2|6.7|13|25|52.0|3|5|60.0
Elgiganten - DK|Denmark|27|14|51.9|7|25.9|4|14.8|2|7.4|12|23|52.2|2|4|50.0
Elkjop - NO|Norway|28|16|57.1|6|21.4|4|14.3|2|7.1|13|24|54.2|3|4|75.0
