sku_id|retailer|country|oem|model|processor|is_evo|evo_badge_detected|details_p|Overall|audit_depth|product_url
SKU-US-0001|Best Buy - US|United States|HP|Spectre x360 16|Intel Core i7|N|NO|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/hp-spectre-x360-16-intel-core-i7
SKU-US-0002|Best Buy - US|United States|Lenovo|Yoga 7i 2-in-1|Intel Core 7|Y|YES|90|94|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/lenovo-yoga-7i-2-in-1-intel-core-7
SKU-US-0005|Best Buy - US|United States|Samsung|Galaxy Book4 360|Intel Core Ultra 9|Y|YES|83|90|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/samsung-galaxy-book4-360-intel-core-ultra-9
SKU-US-0009|Best Buy - US|United States|HP|Envy x360 15|Intel Core Ultra 5|Y|YES|86|92|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/hp-envy-x360-15-intel-core-ultra-5
SKU-US-0010|Best Buy - US|United States|Lenovo|IdeaPad Slim 5|Intel Core i5|N|NO|87|92|FULL_PDP_AUDIT (7-Rule)|https://www.bestbuy.com/products/lenovo-ideapad-slim-5-intel-core-i5
SKU-US-0013|Best Buy - US|United States|Samsung|Galaxy Book4 Ultra|Intel Core Ultra 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/samsung-galaxy-book4-ultra-intel-core-ultra-7
SKU-US-0014|Best Buy - US|United States|MSI|Modern 14|Intel Core i7|N|NO||90|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/msi-modern-14-intel-core-i7
SKU-US-0015|Best Buy - US|United States|Apple|"MacBook Air 15"" M3"|Intel Core 7|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/apple-macbook-air-15-m3-intel-core-7
SKU-US-0019|Best Buy - US|United States|ASUS|TUF Gaming A15|Intel Core i9|N|NO||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/asus-tuf-gaming-a15-intel-core-i9
|Best Buy - US|United States|MSI|Raider GE78 HX|Intel Core Ultra 5|Y|YES||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/msi-raider-ge78-hx-intel-core-ultra-5
SKU-US-0023|Best Buy - US|United States|Apple|"MacBook Air 15"" M3"|Intel Core i5|N|NO||100|LISTING_ONLY (2-Rule)|https://www.bestbuy.com/products/apple-macbook-air-15-m3-intel-core-i5
