rank|keyword|total_serp_skus_n|intel_count|intel_share_pct|sponsored_intel_share_pct|amd_count|apple_count|qualcomm_count|top_ranked_sku|top2_audit_score
1|intel evo laptop|24|24|100.0|100.0|0|0|0|HP Spectre x360 14 (Intel Core Ultra 7)|100.0
2|intel vpro business laptop|24|24|100.0|100.0|0|0|0|Dell Latitude 5440 (Intel vPro Essentials)|71.4
3|intel core i9 gaming desktop|24|23|95.8|100.0|1|0|0|Alienware Aurora R16 (Intel Core i9-14900KF)|85.7
4|intel core ultra laptop|24|22|91.7|100.0|1|0|1|Dell XPS 14 (Intel Core Ultra 7 155H)|100.0
5|intel core i7 notebook|24|21|87.5|100.0|2|1|0|Dell Inspiron 16 Intel Core i7|71.4
6|ultrabook intel core|24|20|83.3|100.0|2|1|1|Dell XPS 14 / HP Spectre x360|100.0
7|business desktop pc|24|19|79.2|85.7|4|1|0|Dell OptiPlex / HP Envy Desktop (14th Gen)|42.9
8|oled laptop intel|24|18|75.0|80.0|5|0|1|Acer Swift Go 14 OLED (Intel Core Ultra 7)|100.0
9|ai pc laptop|24|16|66.7|75.0|4|1|3|"Lenovo Slim 7i 14"" Intel Evo Edition"|85.7
10|gaming laptop|24|15|62.5|80.0|9|0|0|ASUS ROG Zephyrus G16 (Intel Core Ultra 9)|85.7
