retailer|country|total_skus_n|intel_count|intel_share_pct|amd_count|amd_share_pct|apple_count|apple_share_pct|qualcomm_count|qualcomm_share_pct|intel_mom_delta_pct
Acer|Global|28|14|50.0|7|25.0|4|14.3|3|10.7|0.5
Agres - ID|Indonesia|26|14|53.8|6|23.1|4|15.4|2|7.7|0.5
Amazon - BR|Brazil|32|17|53.1|8|25.0|5|15.6|2|6.2|0.5
Amazon - CA|Canada|32|17|53.1|8|25.0|4|12.5|3|9.4|0.5
Amazon - DE|Germany|31|16|51.6|8|25.8|5|16.1|2|6.5|0.5
Amazon - ES|Spain|31|17|54.8|7|22.6|4|12.9|3|9.7|0.5
Amazon - FR|France|32|17|53.1|7|21.9|5|15.6|3|9.4|0.5
Amazon - IN|India|33|18|54.5|8|24.2|4|12.1|3|9.1|0.5
Amazon - IT|Italy|30|16|53.3|7|23.3|4|13.3|3|10.0|0.5
Amazon - MX|Mexico|30|16|53.3|7|23.3|4|13.3|3|10.0|0.5
Amazon - UK|United Kingdom|33|18|54.5|7|21.2|6|18.2|2|6.1|0.5
Amazon - US|United States|34|18|52.9|8|23.5|6|17.6|2|5.9|0.5
Best Buy - CA|Canada|30|16|53.3|7|23.3|5|16.7|2|6.7|0.5
Best Buy - US|United States|32|18|56.2|7|21.9|4|12.5|3|9.4|0.5
Boulanger - FR|France|28|14|50.0|7|25.0|5|17.9|2|7.1|0.5
Costco - US|United States|28|16|57.1|6|21.4|4|14.3|2|7.1|0.5
Coupang - KR|South Korea|30|16|53.3|7|23.3|4|13.3|3|10.0|0.5
Currys - UK|United Kingdom|30|16|53.3|7|23.3|4|13.3|3|10.0|0.5
Dell|United States|30|16|53.3|7|23.3|5|16.7|2|6.7|0.5
Elgiganten - DK|Denmark|27|14|51.9|7|25.9|4|14.8|2|7.4|0.5
Elkjop - NO|Norway|28|16|57.1|6|21.4|4|14.3|2|7.1|0.5
Elkjop - SE|Sweden|28|15|53.6|6|21.4|5|17.9|2|7.1|0.5
Euronics - IT|Italy|26|14|53.8|6|23.1|4|15.4|2|7.7|0.5
Expert - DE|Germany|27|15|55.6|6|22.2|4|14.8|2|7.4|0.5
Flipkart - IN|India|32|16|50.0|8|25.0|6|18.8|2|6.2|0.5
Fnac - FR|France|29|16|55.2|7|24.1|4|13.8|2|6.9|0.5
Gmarket - KR|South Korea|25|13|52.0|6|24.0|4|16.0|2|8.0|0.5
HP|United States|30|16|53.3|7|23.3|4|13.3|3|10.0|0.5
JB Hi-Fi - AU|Australia|31|17|54.8|7|22.6|5|16.1|2|6.5|0.5
JD - CN|China|33|17|51.5|8|24.2|5|15.2|3|9.1|0.5
Komputronik - PL|Poland|29|17|58.6|6|20.7|4|13.8|2|6.9|0.5
Lenovo|United States|31|17|54.8|7|22.6|5|16.1|2|6.5|0.5
Magazine Luiza - BR|Brazil|28|15|53.6|6|21.4|4|14.3|3|10.7|0.5
MediaMarkt - DE|Germany|30|17|56.7|7|23.3|4|13.3|2|6.7|0.5
MediaMarkt - ES|Spain|30|16|53.3|7|23.3|5|16.7|2|6.7|0.5
MediaMarkt - TR|Turkey|29|16|55.2|6|20.7|4|13.8|3|10.3|0.5
MediaWorld - IT|Italy|29|15|51.7|7|24.1|5|17.2|2|6.9|0.5
Mercado Libre - CL|Chile|26|14|53.8|6|23.1|4|15.4|2|7.7|0.5
Mercado Libre - CO|Colombia|27|15|55.6|6|22.2|4|14.8|2|7.4|0.5
Mercado Libre - MX|Mexico|28|16|57.1|6|21.4|4|14.3|2|7.1|0.5
Mercado Livre - BR|Brazil|29|15|51.7|7|24.1|5|17.2|2|6.9|0.5
Monster Notebook - TR|Turkey|26|14|53.8|6|23.1|4|15.4|2|7.7|0.5
Newegg - US|United States|30|17|56.7|6|20.0|5|16.7|2|6.7|0.5
Officeworks - AU|Australia|27|15|55.6|6|22.2|4|14.8|2|7.4|0.5
Reliance Digital - IN|India|28|16|57.1|6|21.4|4|14.3|2|7.1|0.5
Staples - US|United States|26|14|53.8|6|23.1|4|15.4|2|7.7|0.5
TERG / MediaExpert - PL|Poland|30|16|53.3|7|23.3|5|16.7|2|6.7|0.5
The Gioi Di Dong - VN|Vietnam|28|14|50.0|7|25.0|4|14.3|3|10.7|0.5
Tmall - CN|China|24|13|54.2|5|20.8|4|16.7|2|8.3|0.5
Unieuro - IT|Italy|27|14|51.9|7|25.9|4|14.8|2|7.4|0.5
Walmart - US|United States|30|16|53.3|7|23.3|5|16.7|2|6.7|0.5
Yodobashi - JP|Japan|30|16|53.3|7|23.3|5|16.7|2|6.7|0.5
