target_id,retailer,country,iso_country,laptop_url,discovery_method,discovery_status,http_reachable,http_status,http_crawlable,http_failure_reason,playwright_reachable,playwright_status,playwright_crawlable,playwright_failure_reason,firecrawl_reachable,firecrawl_status,firecrawl_crawlable,firecrawl_failure_reason,final_status,successful_strategy,final_failure_reason,evidence_path
agres-id,Agres,Indonesia,ID,https://www.agres.id/product/sku_0011,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,False,0,False,CONNECTION_TIMEOUT,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/agres/INDONESIA/agres-id/
acer-global,Acer,Global,US,https://store.acer.com/product/sku_0011,configured_seed,SUCCESS,True,200,False,AKAMAI_BOT_MANAGER_CHALLENGE,False,0,False,CONNECTION_RESET,True,403,False,EMPTY_RESPONSE,NOT_CRAWLABLE,NONE,EMPTY_RESPONSE,evidence/acer/GLOBAL/acer-global/
amazon-us,Amazon,United States,US,https://www.amazon.com/dp/B08N5WRW88,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,False,0,False,CONNECTION_RESET,True,200,False,CAPTCHA_PAGE,NOT_CRAWLABLE,NONE,CAPTCHA_PAGE,evidence/amazon/UNITED STATES/amazon-us/
amazon-in,Amazon,India,IN,https://www.amazon.in/dp/B08N5WRW88,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,True,404,False,HTTP_404_NOT_FOUND,True,404,False,HTTP_404_NOT_FOUND,NOT_CRAWLABLE,NONE,HTTP_404_NOT_FOUND,evidence/amazon/INDIA/amazon-in/
amazon-gb,Amazon,United Kingdom,GB,https://www.amazon.co.uk/dp/B08N5WRW88,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,False,0,False,CONNECTION_RESET,True,404,False,HTTP_404_NOT_FOUND,NOT_CRAWLABLE,NONE,HTTP_404_NOT_FOUND,evidence/amazon/UNITED KINGDOM/amazon-gb/
amazon-de,Amazon,Germany,DE,https://www.amazon.de/dp/B08N5WRW88,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,False,0,False,CONNECTION_RESET,True,404,False,HTTP_404_NOT_FOUND,NOT_CRAWLABLE,NONE,HTTP_404_NOT_FOUND,evidence/amazon/GERMANY/amazon-de/
amazon-fr,Amazon,France,FR,https://www.amazon.fr/dp/B08N5WRW88,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,True,404,False,HTTP_404_NOT_FOUND,True,404,False,HTTP_404_NOT_FOUND,NOT_CRAWLABLE,NONE,HTTP_404_NOT_FOUND,evidence/amazon/FRANCE/amazon-fr/
amazon-it,Amazon,Italy,IT,https://www.amazon.it/dp/B08N5WRW88,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,True,404,False,HTTP_404_NOT_FOUND,True,404,False,HTTP_404_NOT_FOUND,NOT_CRAWLABLE,NONE,HTTP_404_NOT_FOUND,evidence/amazon/ITALY/amazon-it/
amazon-es,Amazon,Spain,ES,https://www.amazon.es/dp/B08N5WRW88,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,True,404,False,HTTP_404_NOT_FOUND,True,404,False,HTTP_404_NOT_FOUND,NOT_CRAWLABLE,NONE,HTTP_404_NOT_FOUND,evidence/amazon/SPAIN/amazon-es/
amazon-ca,Amazon,Canada,CA,https://www.amazon.ca/dp/B08N5WRW88,configured_seed,SUCCESS,True,404,False,HTTP_404_NOT_FOUND,True,200,False,CAPTCHA_PAGE,True,200,False,CAPTCHA_PAGE,NOT_CRAWLABLE,NONE,CAPTCHA_PAGE,evidence/amazon/CANADA/amazon-ca/
