target_id,retailer,country,laptop_url,http,playwright,firecrawl,brightdata,adapter,final_status,failure_reason
agres-id,Agres,Indonesia,https://www.agres.id/categories/laptops,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
acer-global,Acer,Global,https://store.acer.com/en-us/laptops/gaming,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-us,Amazon,United States,https://www.amazon.com/HP-Laptop-Student-Business-Copilot/dp/B0GY16ZXZV/ref=sr_1_1?dib=eyJ2IjoiMSJ9.B5Qg2mZ8Em9UgkHr7srZ3NCwogWwjsXpuvEqQtCl1_k_EU7GHXDG6lABX-x3DQpT-tQARBbqBZw6Cpy3tbQxm_eahsGyfqIqzXZNTAJQbH2o8rApuZIJuA_WWSnOIAg8jIy7B6m1vt5eEt2j9gN6mA4w-UQ50F3YuD2XVAODnpiPp3laM84uv3FlEMmrj2CkS02w1vHRB0RwUxtS0fp8ojU40CsqHD2FOFiFARbnehg.ycOixDO-MBSRQCf3Zb3iojz-YkO5NpJu_GEMC0cAYm0&dib_tag=se&keywords=laptop&qid=1787584879&sr=8-1,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-in,Amazon,India,https://www.amazon.in/dp/B08L5WHJ7L,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-gb,Amazon,United Kingdom,https://www.amazon.co.uk/dp/B08L5WHJ7L,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-de,Amazon,Germany,https://www.amazon.de/dp/B08L5WHJ7L,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-fr,Amazon,France,https://www.amazon.fr/dp/B08L5WHJ7L,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-it,Amazon,Italy,https://www.amazon.it/dp/B08L5WHJ7L,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-ca,Amazon,Canada,https://www.amazon.ca/Laptops/b/?ie=UTF8&node=677252011&ref_=sv_pc_2,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-br,Amazon,Brazil,https://www.amazon.com.br/Notebook-ASUS-VivoBook-RYZEN-KeepOS/dp/B0CYVVRSSZ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.H7KJzaDLIv8FkqiMZzmm8OKlvU5L9Ab8UZvJgZfn6XdcSwJoMR12jpOn3mWFxRYiK0x5Uomvs4GZacp--w2S4WNNDHHZN8e41mrm4EDh-7K4shkFZSBaDKo4uSW0-2-YOtefXosMheo9dU1VY9TR49UorZelNb1xBII0Ly0hQl77XwGhgC2cXHbcofhe381dnn4Xvf-0GwUFA6Rof38jXNw9yEF0vMV9dWA8MrDvXu2A8ywnx4hKprLEHrdQh8RYj0etHmzm1KR78L72LfhIr-wKUH9N2IU6i5O7_EYexH8.uz8uL6WyVkOPXOHb0SpTMB2BlpgUEgW7YIs68sgRXoM&dib_tag=se&keywords=notebook&qid=1787585479&sr=8-5&ufe=app_do%3Aamzn1.fos.9e6a115c-05b9-4b96-8e1c-b1f9ce2ac1a6,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-es,Amazon,Spain,https://www.amazon.es/dp/B08N5WRW88,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
amazon-mx,Amazon,Mexico,https://www.amazon.com.mx/Hora-20000mAh-Incorporados-Compatible-USB-Negro/dp/B09NR5ML9Q/ref=sr_1_7?dib=eyJ2IjoiMSJ9.YVju2VL9Z36afz4wpJE9iNLMFGBV_63KB5uzwYKiwB2nOF8UO3DOLcvpb2pEbV54TeVLv4HWoKvM9A1fDhzSF2pUuk83UqVW7azCwHnkffzPhBqSVN9ZQJm5mHz9H_N4dYfvy7prM1vw3lm278KD0y_1o8Brae1n4mJHiuxcZr--_8G2FYLHGBLDWOZ50Z8d7guo8ZNT3IFXPhvSmq5liefqvRS4UukeBeo5xZQzMmmSVSe0OEieDUCBk9n8F2sMDrQsEE2mcQpDz9QJxN6mGTXdnM1pa-pvLw8RHV_FFiw.eo2trP8GYZEyxXFkE7atqJIXEXAsvciMlq9Jewga4F4&dib_tag=se&keywords=portatil&qid=1787585435&sr=8-7&ufe=app_do%3Aamzn1.fos.db4f1a57-87f1-43c5-9a39-0cdca6036b57,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
bestbuy-us,Bestbuy,United States,https://www.bestbuy.com/product/asus-proart-pz13-13-oled-3k-detachable-laptop-copilot-pc-snapdragon-x-plus-16gb-memory-1tb-ssd-nano-black/JJGGLQ6Z4X,NO,NO,NO,NO,N/A,FAILED,EMPTY_RESPONSE
